PART,TRAT,c1i1,c1i2,c1i3,c1i4,c1i5,c1i6,c2i1,c2i2,c2i3,c2i4,c2i5,c2i6,c2i7,c2i8,c2i9,c2i10,c2i11,c3i1,c3i2,c3i3,c3i4,c3i5,c4i1,c4i2,c4i3,c5i1,c5i2,c5i3,c5i4,c5i5,c5i6,c6i1,c6i2,c6i3,c6i4,c6i5,c6i6,c6i7,c6i8,c6i9
1,HO,5,4,5,5,5,5,5,4,5,5,3,5,4,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,3,2,5,5,5,5,5,1,1,1,1
2,HO,4,4,5,5,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,2,2,4,4,5,5,5,1,1,1,1
3,HO,5,4,5,5,5,4,5,5,5,5,5,5,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,3,2,4,3,5,5,5,1,1,1,1
4,HO,5,3,2,4,2,1,3,5,3,5,5,5,4,5,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,3,3,4,4,1,5,4,1,1,1,1
5,HO,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,5,5,5,5,5,5,5,3,2,5,5,5,5,5,1,1,1,1
6,HO,5,4,4,4,5,4,5,5,5,5,2,1,5,5,5,1,2,4,3,5,5,5,1,5,4,5,5,5,5,2,1,3,4,3,1,1,1,1,1,1
7,HO,5,4,4,5,4,5,5,3,5,2,5,5,5,5,5,5,5,5,5,5,5,5,5,5,2,5,5,5,5,3,2,5,5,5,5,5,2,1,1,2
8,HO,5,5,5,4,4,5,2,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,3,2,5,5,5,5,5,2,1,1,1
9,BSC,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,5,5,5,5,5
10,BSC,4,4,5,4,4,5,5,5,5,4,5,5,4,4,5,5,5,5,5,5,5,5,5,5,5,4,5,4,5,5,5,5,5,4,4,5,5,5,5,5
11,BSC,4,4,5,5,4,5,5,4,5,4,5,2,5,4,4,5,5,5,5,4,5,5,5,5,5,5,1,5,4,5,5,5,5,4,5,5,5,5,5,5
12,BSC,3,5,4,5,5,5,5,4,2,5,5,4,4,5,5,3,5,5,5,1,1,5,5,5,5,4,5,5,5,4,5,5,5,5,5,5,4,4,5,5
13,BSC,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,5,5,5,5,5
14,BSC,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
15,BSC,4,4,4,5,5,5,5,4,5,5,5,5,5,5,5,5,5,3,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
16,HO,5,5,5,5,5,5,5,5,5,5,5,4,5,5,5,5,5,5,5,5,2,5,5,5,5,5,5,5,5,4,5,5,5,5,5,5,3,3,3,3
17,HO,5,4,4,4,4,4,5,4,5,4,4,4,4,4,5,5,3,5,5,5,5,5,4,5,5,4,5,1,4,3,3,5,5,4,4,4,1,1,1,1
18,HO,2,4,4,5,5,4,5,4,5,1,5,4,2,3,5,5,5,5,5,5,5,5,3,4,5,4,4,4,3,1,2,5,5,5,5,4,2,2,1,2
19,HO,4,4,4,4,4,4,5,4,5,4,5,5,4,4,5,4,5,4,5,5,5,5,4,2,5,4,5,5,4,3,2,4,5,5,5,2,1,2,2,1
20,HO,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,3,3,5,5,4,2,4,2,1,1,1
21,BSC,5,4,,1,4,4,5,5,5,4,5,5,5,5,2,4,5,5,5,5,4,5,5,4,5,4,2,5,4,5,5,4,5,5,4,5,5,5,4,5
22,BSC,5,5,4,4,5,4,5,4,5,5,4,4,5,5,4,4,5,5,4,5,5,5,5,4,5,5,4,5,5,5,4,5,4,5,5,5,4,4,5,5
23,BSC,4,5,4,4,4,4,5,5,4,4,,5,4,5,4,4,5,2,1,5,4,4,4,5,5,5,5,5,5,4,4,4,4,3,4,4,4,3,4,4
24,BSC,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
25,BSC,5,5,5,5,5,5,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,5,5,5,5,5,5,5
26,BSC,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
27,BSC,5,3,3,2,4,3,5,4,5,4,4,3,4,4,3,4,4,4,5,5,3,5,5,5,5,1,5,5,4,3,3,4,4,3,4,4,3,4,3,3
28,BSC,4,2,1,3,3,2,4,4,1,4,1,4,1,2,1,2,1,1,2,3,4,2,4,1,3,2,3,3,2,2,2,1,4,2,3,3,4,4,4,4
29,HO,5,5,5,4,4,5,5,4,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,5,4,3,3,4,4,5,5,5,3,1,2,2
30,HO,5,5,5,4,4,4,5,5,5,5,5,4,4,4,5,5,5,5,5,5,5,5,5,5,5,3,5,4,3,3,3,4,2,5,5,5,2,1,2,1
31,HO,5,5,5,5,4,4,5,4,4,5,5,4,4,4,5,4,5,5,5,5,5,5,5,5,5,5,5,4,4,3,3,2,4,4,4,4,2,1,2,1
32,HO,5,4,5,5,5,5,5,5,5,5,5,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,3,3,5,5,5,5,5,1,2,2,2
33,HO,5,1,5,5,5,5,5,5,5,5,5,5,5,4,5,3,5,4,5,5,5,5,5,4,5,5,5,5,5,4,3,3,1,5,4,4,1,2,2,1
34,HO,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,3,5,5,5,5,5,2,1,2,1
35,BSC,1,4,4,4,4,4,1,2,5,3,4,4,3,4,5,4,5,5,5,5,5,3,2,3,1,4,5,5,4,4,4,5,5,4,5,4,4,4,5,5
36,BSC,5,5,5,4,1,5,5,1,5,5,5,5,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,2,4,5,5,5,5,5,5,5,5,5,5
37,BSC,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
38,BSC,5,4,4,5,5,4,5,5,5,5,5,4,5,5,5,5,5,5,5,2,,5,5,5,5,5,5,2,5,5,5,4,5,5,5,5,5,5,5,5
39,BSC,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
